datetime,patient_visits,patient_types,visit_times,patient_type_1,visit_time_1,patient_type_2,visit_time_2,patient_type_3,visit_time_3,patient_type_4,visit_time_4,patient_type_5,visit_time_5,patient_type_6,visit_time_6,patient_type_7,visit_time_7,patient_type_8,visit_time_8
2019-01-01 00:59:00,3,['B' 'B' 'A'],"[Timestamp('2019-01-01 00:40:00'), Timestamp('2019-01-01 00:27:00'), Timestamp('2019-01-01 00:08:00')]",B,2019-01-01 00:40:00,B,2019-01-01 00:27:00,A,2019-01-01 00:08:00,,,,,,,,,,
2019-01-01 01:59:00,7,['A' 'B' 'D' 'C' 'C' 'B' 'C'],"[Timestamp('2019-01-01 01:08:00'), Timestamp('2019-01-01 01:03:00'), Timestamp('2019-01-01 01:30:00'), Timestamp('2019-01-01 01:01:00'), Timestamp('2019-01-01 01:10:00'), Timestamp('2019-01-01 01:39:00'), Timestamp('2019-01-01 01:41:00')]",A,2019-01-01 01:08:00,B,2019-01-01 01:03:00,D,2019-01-01 01:30:00,C,2019-01-01 01:01:00,C,2019-01-01 01:10:00,B,2019-01-01 01:39:00,C,2019-01-01 01:41:00,,
2019-01-01 02:59:00,5,['B' 'A' 'A' 'B' 'A'],"[Timestamp('2019-01-01 02:37:00'), Timestamp('2019-01-01 02:57:00'), Timestamp('2019-01-01 02:29:00'), Timestamp('2019-01-01 02:42:00'), Timestamp('2019-01-01 02:18:00')]",B,2019-01-01 02:37:00,A,2019-01-01 02:57:00,A,2019-01-01 02:29:00,B,2019-01-01 02:42:00,A,2019-01-01 02:18:00,,,,,,
2019-01-01 03:59:00,5,['A' 'C' 'B' 'A' 'B'],"[Timestamp('2019-01-01 03:10:00'), Timestamp('2019-01-01 03:51:00'), Timestamp('2019-01-01 03:15:00'), Timestamp('2019-01-01 03:03:00'), Timestamp('2019-01-01 03:42:00')]",A,2019-01-01 03:10:00,C,2019-01-01 03:51:00,B,2019-01-01 03:15:00,A,2019-01-01 03:03:00,B,2019-01-01 03:42:00,,,,,,
2019-01-01 04:59:00,6,['A' 'B' 'C' 'A' 'A' 'A'],"[Timestamp('2019-01-01 04:17:00'), Timestamp('2019-01-01 04:08:00'), Timestamp('2019-01-01 04:36:00'), Timestamp('2019-01-01 04:03:00'), Timestamp('2019-01-01 04:50:00'), Timestamp('2019-01-01 04:04:00')]",A,2019-01-01 04:17:00,B,2019-01-01 04:08:00,C,2019-01-01 04:36:00,A,2019-01-01 04:03:00,A,2019-01-01 04:50:00,A,2019-01-01 04:04:00,,,,
2019-01-01 05:59:00,5,['C' 'A' 'B' 'B' 'D'],"[Timestamp('2019-01-01 05:15:00'), Timestamp('2019-01-01 05:27:00'), Timestamp('2019-01-01 05:56:00'), Timestamp('2019-01-01 05:44:00'), Timestamp('2019-01-01 05:28:00')]",C,2019-01-01 05:15:00,A,2019-01-01 05:27:00,B,2019-01-01 05:56:00,B,2019-01-01 05:44:00,D,2019-01-01 05:28:00,,,,,,
2019-01-01 06:59:00,4,['C' 'B' 'A' 'C'],"[Timestamp('2019-01-01 06:01:00'), Timestamp('2019-01-01 06:05:00'), Timestamp('2019-01-01 06:15:00'), Timestamp('2019-01-01 06:18:00')]",C,2019-01-01 06:01:00,B,2019-01-01 06:05:00,A,2019-01-01 06:15:00,C,2019-01-01 06:18:00,,,,,,,,
2019-01-01 07:59:00,4,['A' 'D' 'A' 'D'],"[Timestamp('2019-01-01 07:30:00'), Timestamp('2019-01-01 07:55:00'), Timestamp('2019-01-01 07:42:00'), Timestamp('2019-01-01 07:03:00')]",A,2019-01-01 07:30:00,D,2019-01-01 07:55:00,A,2019-01-01 07:42:00,D,2019-01-01 07:03:00,,,,,,,,
2019-01-01 08:59:00,7,['A' 'B' 'D' 'B' 'B' 'B' 'B'],"[Timestamp('2019-01-01 08:35:00'), Timestamp('2019-01-01 08:45:00'), Timestamp('2019-01-01 08:17:00'), Timestamp('2019-01-01 08:15:00'), Timestamp('2019-01-01 08:41:00'), Timestamp('2019-01-01 08:47:00'), Timestamp('2019-01-01 08:04:00')]",A,2019-01-01 08:35:00,B,2019-01-01 08:45:00,D,2019-01-01 08:17:00,B,2019-01-01 08:15:00,B,2019-01-01 08:41:00,B,2019-01-01 08:47:00,B,2019-01-01 08:04:00,,
2019-01-01 09:59:00,4,['A' 'D' 'B' 'B'],"[Timestamp('2019-01-01 09:33:00'), Timestamp('2019-01-01 09:19:00'), Timestamp('2019-01-01 09:39:00'), Timestamp('2019-01-01 09:07:00')]",A,2019-01-01 09:33:00,D,2019-01-01 09:19:00,B,2019-01-01 09:39:00,B,2019-01-01 09:07:00,,,,,,,,
